lead_indices,lead_names,measurement_contacts,sensitivity_threshold,meets_af,meets_ischemia,meets_conduction,meets_ectopy,disease_groups_met
0;1;2;3;4;5;7,I;II;III;aVR;aVL;aVF;V2,4,0.5,1,1,1,0,3
0;1;2;3;4;5;7,I;II;III;aVR;aVL;aVF;V2,4,0.6,1,0,1,0,2
0;1;2;3;4;5;7,I;II;III;aVR;aVL;aVF;V2,4,0.7,1,0,1,0,2
0;1;2;3;4;5;7,I;II;III;aVR;aVL;aVF;V2,4,0.8,1,0,1,0,2
0;1;2;3;4;5;7,I;II;III;aVR;aVL;aVF;V2,4,0.9,1,0,0,0,1
0;1;2;3;4;5;7;8,I;II;III;aVR;aVL;aVF;V2;V3,5,0.5,1,1,1,0,3
0;1;2;3;4;5;7;8,I;II;III;aVR;aVL;aVF;V2;V3,5,0.6,1,1,1,0,3
0;1;2;3;4;5;7;8,I;II;III;aVR;aVL;aVF;V2;V3,5,0.7,1,0,1,0,2
0;1;2;3;4;5;7;8,I;II;III;aVR;aVL;aVF;V2;V3,5,0.8,1,0,1,0,2
0;1;2;3;4;5;7;8,I;II;III;aVR;aVL;aVF;V2;V3,5,0.9,1,0,0,0,1
0;1;2;3;4;5;7;8;9,I;II;III;aVR;aVL;aVF;V2;V3;V4,6,0.5,1,1,1,0,3
0;1;2;3;4;5;7;8;9,I;II;III;aVR;aVL;aVF;V2;V3;V4,6,0.6,1,1,1,0,3
0;1;2;3;4;5;7;8;9,I;II;III;aVR;aVL;aVF;V2;V3;V4,6,0.7,1,0,1,0,2
0;1;2;3;4;5;7;8;9,I;II;III;aVR;aVL;aVF;V2;V3;V4,6,0.8,1,0,1,0,2
0;1;2;3;4;5;7;8;9,I;II;III;aVR;aVL;aVF;V2;V3;V4,6,0.9,1,0,0,0,1
0;1;2;3;4;5;7;8;9;10,I;II;III;aVR;aVL;aVF;V2;V3;V4;V5,7,0.5,1,1,1,0,3
0;1;2;3;4;5;7;8;9;10,I;II;III;aVR;aVL;aVF;V2;V3;V4;V5,7,0.6,1,0,1,0,2
0;1;2;3;4;5;7;8;9;10,I;II;III;aVR;aVL;aVF;V2;V3;V4;V5,7,0.7,1,0,1,0,2
0;1;2;3;4;5;7;8;9;10,I;II;III;aVR;aVL;aVF;V2;V3;V4;V5,7,0.8,1,0,1,0,2
0;1;2;3;4;5;7;8;9;10,I;II;III;aVR;aVL;aVF;V2;V3;V4;V5,7,0.9,1,0,0,0,1
0;1;2;3;4;5;7;8;9;10;11,I;II;III;aVR;aVL;aVF;V2;V3;V4;V5;V6,8,0.5,1,1,1,0,3
0;1;2;3;4;5;7;8;9;10;11,I;II;III;aVR;aVL;aVF;V2;V3;V4;V5;V6,8,0.6,1,1,1,0,3
0;1;2;3;4;5;7;8;9;10;11,I;II;III;aVR;aVL;aVF;V2;V3;V4;V5;V6,8,0.7,1,0,1,0,2
0;1;2;3;4;5;7;8;9;10;11,I;II;III;aVR;aVL;aVF;V2;V3;V4;V5;V6,8,0.8,1,0,1,0,2
0;1;2;3;4;5;7;8;9;10;11,I;II;III;aVR;aVL;aVF;V2;V3;V4;V5;V6,8,0.9,1,0,0,0,1
0;1;2;3;4;5;7;8;9;11,I;II;III;aVR;aVL;aVF;V2;V3;V4;V6,7,0.5,1,1,1,0,3
0;1;2;3;4;5;7;8;9;11,I;II;III;aVR;aVL;aVF;V2;V3;V4;V6,7,0.6,1,1,1,0,3
0;1;2;3;4;5;7;8;9;11,I;II;III;aVR;aVL;aVF;V2;V3;V4;V6,7,0.7,1,0,1,0,2
0;1;2;3;4;5;7;8;9;11,I;II;III;aVR;aVL;aVF;V2;V3;V4;V6,7,0.8,1,0,1,0,2
0;1;2;3;4;5;7;8;9;11,I;II;III;aVR;aVL;aVF;V2;V3;V4;V6,7,0.9,1,0,0,0,1
0;1;2;3;4;5;7;8;10,I;II;III;aVR;aVL;aVF;V2;V3;V5,6,0.5,1,1,1,0,3
0;1;2;3;4;5;7;8;10,I;II;III;aVR;aVL;aVF;V2;V3;V5,6,0.6,1,0,1,0,2
0;1;2;3;4;5;7;8;10,I;II;III;aVR;aVL;aVF;V2;V3;V5,6,0.7,1,0,1,0,2
0;1;2;3;4;5;7;8;10,I;II;III;aVR;aVL;aVF;V2;V3;V5,6,0.8,1,0,0,0,1
0;1;2;3;4;5;7;8;10,I;II;III;aVR;aVL;aVF;V2;V3;V5,6,0.9,1,0,0,0,1
0;1;2;3;4;5;7;8;10;11,I;II;III;aVR;aVL;aVF;V2;V3;V5;V6,7,0.5,1,1,1,0,3
0;1;2;3;4;5;7;8;10;11,I;II;III;aVR;aVL;aVF;V2;V3;V5;V6,7,0.6,1,0,1,0,2
0;1;2;3;4;5;7;8;10;11,I;II;III;aVR;aVL;aVF;V2;V3;V5;V6,7,0.7,1,0,1,0,2
0;1;2;3;4;5;7;8;10;11,I;II;III;aVR;aVL;aVF;V2;V3;V5;V6,7,0.8,1,0,0,0,1
0;1;2;3;4;5;7;8;10;11,I;II;III;aVR;aVL;aVF;V2;V3;V5;V6,7,0.9,1,0,0,0,1
0;1;2;3;4;5;7;8;11,I;II;III;aVR;aVL;aVF;V2;V3;V6,6,0.5,1,1,1,0,3
0;1;2;3;4;5;7;8;11,I;II;III;aVR;aVL;aVF;V2;V3;V6,6,0.6,1,1,1,0,3
